TITLE,TT-(TII-CHO)2_KBr
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,matsulab
DATE,24/01/19
TIME,16:26:23
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.1927
LASTX, 4000.6047
NPOINTS,    3736
FIRSTY,     0.05741
MAXY,     0.11824
MINY,     0.00100
XYDATA
630.6087,0.00770142
631.5729,0.00852048
632.5372,0.0093384
633.5014,0.0100472
634.4656,0.0105626
635.4299,0.0108317
636.3941,0.0108389
637.3583,0.0106116
638.3226,0.010221
639.2868,0.00976873
640.2510,0.00935647
641.2153,0.00905029
642.1795,0.00885802
643.1437,0.00873604
644.1080,0.00862152
645.0722,0.00846701
646.0364,0.00825365
647.0007,0.00797882
647.9649,0.00763619
648.9291,0.00721195
649.8934,0.00670572
650.8576,0.0061577
651.8218,0.00565345
652.7861,0.00529642
653.7503,0.00516441
654.7145,0.00527383
655.6788,0.00557239
656.6430,0.00597004
657.6072,0.00639112
658.5715,0.0068074
659.5357,0.00722526
660.4999,0.00764086
661.4642,0.00801029
662.4284,0.00827155
663.3926,0.00839452
664.3569,0.00840851
665.3211,0.00840209
666.2853,0.00851939
667.2496,0.00892625
668.2138,0.00962992
669.1780,0.0102566
670.1423,0.0103948
671.1065,0.0100741
672.0707,0.00953258
673.0350,0.00893183
673.9992,0.00834244
674.9634,0.00779777
675.9277,0.00732725
676.8919,0.00696316
677.8561,0.0067305
678.8204,0.00663577
679.7846,0.00666461
680.7488,0.00678676
681.7131,0.00696541
682.6773,0.00716974
683.6415,0.00738469
684.6058,0.00761091
685.5700,0.00785512
686.5342,0.00811808
687.4985,0.00838582
688.4627,0.00862631
689.4269,0.00879191
690.3912,0.00882882
691.3554,0.00869298
692.3196,0.00836874
693.2839,0.00788311
694.2481,0.00730899
695.2123,0.00675345
696.1766,0.00633139
697.1408,0.00612989
698.1050,0.0061764
699.0693,0.00642698
700.0335,0.00678288
700.9977,0.00712775
701.9620,0.00736676
702.9262,0.00745074
703.8904,0.00737988
704.8547,0.00719471
705.8189,0.00696544
706.7831,0.00678147
707.7474,0.00673181
708.7116,0.00687142
709.6758,0.00719007
710.6401,0.0076164
711.6043,0.00807655
712.5685,0.00858185
713.5328,0.00927413
714.4970,0.010362
715.4612,0.0119584
716.4255,0.0139196
717.3897,0.015803
718.3539,0.0170104
719.3182,0.0170873
720.2824,0.0160191
721.2466,0.0142805
722.2109,0.0125492
723.1751,0.0113044
724.1393,0.0106247
725.1036,0.0102748
726.0678,0.00994202
727.0320,0.00944144
727.9963,0.00878061
728.9605,0.0080807
729.9247,0.0074506
730.8890,0.00692413
731.8532,0.00649076
732.8174,0.00615992
733.7817,0.00598294
734.7459,0.00601302
735.7101,0.00624779
736.6744,0.00661187
737.6386,0.0069944
738.6028,0.00730702
739.5671,0.00751661
740.5313,0.00763599
741.4955,0.00769307
742.4598,0.00770914
743.4240,0.00769695
744.3882,0.00766467
745.3525,0.00761068
746.3167,0.00751552
747.2809,0.00735296
748.2452,0.00713042
749.2094,0.00693463
750.1736,0.00693657
751.1379,0.00732573
752.1021,0.00819428
753.0663,0.00943808
754.0306,0.010747
754.9948,0.0117112
755.9590,0.0119977
756.9233,0.0115016
757.8875,0.0103858
758.8517,0.00899328
759.8160,0.00769017
760.7802,0.00673008
761.7444,0.00619737
762.7087,0.00603336
763.6729,0.00610712
764.6371,0.00628561
765.6014,0.00647623
766.5656,0.00663827
767.5298,0.00677323
768.4941,0.00690502
769.4583,0.00705751
770.4225,0.00723585
771.3868,0.00741802
772.3510,0.00756046
773.3152,0.00761468
774.2795,0.00754595
775.2437,0.00734586
776.2079,0.00703617
777.1722,0.00666513
778.1364,0.00629757
779.1006,0.00599869
780.0649,0.00581603
781.0291,0.00577143
781.9933,0.0058762
782.9576,0.00616776
783.9218,0.00674252
784.8860,0.00774663
785.8503,0.0093039
786.8145,0.0114051
787.7787,0.013824
788.7430,0.0161315
789.7072,0.0178297
790.6714,0.0185557
791.6357,0.018244
792.5999,0.0171514
793.5641,0.0157276
794.5284,0.0144096
795.4926,0.0134542
796.4568,0.0128854
797.4211,0.0125593
798.3853,0.0122875
799.3495,0.0119438
800.3138,0.0115065
801.2780,0.0110374
802.2422,0.0106276
803.2065,0.0103498
804.1707,0.0102333
805.1349,0.0102633
806.0992,0.0103974
807.0634,0.01059
