TITLE,PTSA_KBr
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,matsulab
DATE,24/01/19
TIME,16:43:55
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.1927
LASTX, 4000.6047
NPOINTS,    3736
FIRSTY,     0.05140
MAXY,     0.05159
MINY,     0.00100
XYDATA
631.5729,0.0130734
632.5372,0.0137224
633.5014,0.0142436
634.4656,0.0145089
635.4299,0.0144756
636.3941,0.0141888
637.3583,0.0137438
638.3226,0.0132386
639.2868,0.0127481
640.2510,0.0123229
641.2153,0.0119969
642.1795,0.0117928
643.1437,0.0117201
644.1080,0.0117711
645.0722,0.0119212
646.0364,0.0121314
647.0007,0.0123536
647.9649,0.012541
648.9291,0.0126645
649.8934,0.0127303
650.8576,0.0127821
651.8218,0.0128823
652.7861,0.0130795
653.7503,0.013383
654.7145,0.0137569
655.6788,0.0141361
656.6430,0.0144569
657.6072,0.0146792
658.5715,0.014788
659.5357,0.0147778
660.4999,0.0146471
661.4642,0.0144104
662.4284,0.0141126
663.3926,0.013827
664.3569,0.0136479
665.3211,0.013698
666.2853,0.0141409
667.2496,0.0151108
668.2138,0.0164195
669.1780,0.0173752
670.1423,0.0175188
671.1065,0.0171608
672.0707,0.016798
673.0350,0.0167245
673.9992,0.0170621
674.9634,0.0178145
675.9277,0.0188744
676.8919,0.0200644
677.8561,0.0212428
678.8204,0.0223908
679.7846,0.0235964
680.7488,0.0249652
681.7131,0.0265367
682.6773,0.028255
683.6415,0.0299984
684.6058,0.0316325
685.5700,0.0330511
686.5342,0.0341894
687.4985,0.0350196
688.4627,0.0355351
689.4269,0.0357312
690.3912,0.0355895
691.3554,0.0350778
692.3196,0.0341631
693.2839,0.0328285
694.2481,0.0310909
695.2123,0.0290177
696.1766,0.0267394
697.1408,0.0244428
698.1050,0.0223352
699.0693,0.0205861
700.0335,0.0192799
700.9977,0.0184027
701.9620,0.0178675
702.9262,0.0175574
703.8904,0.0173649
704.8547,0.0172138
705.8189,0.0170655
706.7831,0.0169113
707.7474,0.0167559
708.7116,0.0165923
709.6758,0.0163816
710.6401,0.0160635
711.6043,0.0156067
712.5685,0.0150787
713.5328,0.0146699
714.4970,0.0146191
715.4612,0.0150571
716.4255,0.0158646
717.3897,0.0166522
718.3539,0.0169116
719.3182,0.0162991
720.2824,0.0148909
721.2466,0.0131916
722.2109,0.0118347
723.1751,0.0112043
724.1393,0.0112673
725.1036,0.0116856
726.0678,0.0120707
727.0320,0.0122067
727.9963,0.0121196
728.9605,0.0119815
729.9247,0.011946
730.8890,0.0120483
731.8532,0.012228
732.8174,0.0124187
733.7817,0.0126111
734.7459,0.0128404
735.7101,0.0131265
736.6744,0.0134341
737.6386,0.0136893
738.6028,0.0138318
739.5671,0.0138537
740.5313,0.0137916
741.4955,0.0136861
742.4598,0.0135491
743.4240,0.0133668
744.3882,0.0131296
745.3525,0.0128562
746.3167,0.0125885
747.2809,0.0123625
748.2452,0.0121839
749.2094,0.0120278
750.1736,0.0118634
751.1379,0.0116816
752.1021,0.0115053
753.0663,0.0113793
754.0306,0.0113483
754.9948,0.0114384
755.9590,0.0116478
756.9233,0.0119477
757.8875,0.01229
758.8517,0.0126209
759.8160,0.012898
760.7802,0.0131029
761.7444,0.0132426
762.7087,0.0133359
763.6729,0.0133942
764.6371,0.0134121
765.6014,0.0133756
766.5656,0.0132805
767.5298,0.0131468
768.4941,0.0130125
769.4583,0.0129126
770.4225,0.0128576
771.3868,0.0128292
772.3510,0.012794
773.3152,0.0127235
774.2795,0.0126055
775.2437,0.0124417
776.2079,0.0122422
777.1722,0.0120261
778.1364,0.0118295
779.1006,0.0117062
780.0649,0.011712
781.0291,0.0118747
781.9933,0.0121706
782.9576,0.0125285
783.9218,0.0128645
784.8860,0.0131275
785.8503,0.0133233
786.8145,0.0134993
787.7787,0.0137007
788.7430,0.0139292
789.7072,0.0141367
790.6714,0.014257
791.6357,0.0142533
792.5999,0.014147
793.5641,0.0140076
794.5284,0.0139111
795.4926,0.0138959
796.4568,0.0139455
797.4211,0.0140062
798.3853,0.0140256
799.3495,0.0139861
800.3138,0.013914
801.2780,0.0138628
802.2422,0.013887
803.2065,0.014021
804.1707,0.0142752
805.1349,0.0146472
806.0992,0.0151401
807.0634,0.0157782
808.0276,0.0166093
808.9919,0.0176894
809.9561,0.0190532
