imine polymer 0% TFA,,imine polymer 0.017% TFA,,imine polymer 0.05% TFA,,imine polymer 0.25% TFA,,imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1360.666626,0.0004714321694,1360.666626,0.00103273103,1360.666626,0.0005958375987,1360.666626,0.002867802279,1360.666626,0.003933425993,
1360,0.0005009234301,1360,0.001056681271,1360,0.0007130964077,1360,0.002927973168,1360,0.004084329586,
1359.333374,0.000554080063,1359.333374,0.0009934740374,1359.333374,0.000617482583,1359.333374,0.002889013616,1359.333374,0.004044064321,
1358.666626,0.0004905312671,1358.666626,0.00096584321,1358.666626,0.0005654586712,1358.666626,0.002814491978,1358.666626,0.003920913674,
1358,0.0005585381296,1358,0.0009800865082,1358,0.0005984037998,1358,0.002820640802,1358,0.003936220892,
1357.333374,0.0004712248628,1357.333374,0.0008941669948,1357.333374,0.0004792323743,1357.333374,0.002626759466,1357.333374,0.003812578507,
1356.666626,0.0004374342388,1356.666626,0.0008065009024,1356.666626,0.0004348948423,1356.666626,0.00250481721,1356.666626,0.003708290868,
1356,0.0004663530563,1356,0.0007796859136,1356,0.0003701458336,1356,0.002389312023,1356,0.003698630957,
1355.333374,0.0004750342341,1355.333374,0.0007801267784,1355.333374,0.0003672441526,1355.333374,0.002336867386,1355.333374,0.003619872266,
1354.666626,0.0004890800337,1354.666626,0.0008011585451,1354.666626,0.000367814122,1354.666626,0.002290023724,1354.666626,0.003696934087,
1354,0.0004848818062,1354,0.0006779647083,1354,0.0003371143539,1354,0.00215750956,1354,0.003572028829,
1353.333374,0.0004161091347,1353.333374,0.0006931837415,1353.333374,0.0002530054771,1353.333374,0.002049691277,1353.333374,0.003564120736,
1352.666626,0.0004789213999,1352.666626,0.0006497576833,1352.666626,0.0002359888167,1352.666626,0.001922554686,1352.666626,0.003499373095,
1352,0.0004001742927,1352,0.0005907829036,1352,0.0001852536079,1352,0.001845911029,1352,0.00343262637,
1351.333374,0.0004207990132,1351.333374,0.0006074246485,1351.333374,0.0001309250802,1351.333374,0.001698745415,1351.333374,0.003281948622,
1350.666626,0.0004144508566,1350.666626,0.0005579160643,1350.666626,0.0001366994256,1350.666626,0.001624401775,1350.666626,0.003154789796,
1350,0.0004035425954,1350,0.0005175875849,1350,2.205540477E-005,1350,0.001395474188,1350,0.002920780331,
1349.333374,0.0004232864885,1349.333374,0.0004680374404,1349.333374,5.340603457E-005,1349.333374,0.001313237241,1349.333374,0.002717059804,
