imine undoped,,imine 10 min iodine doping,,imine 1 min iodine doping,,imine 30 min iodine doping,,imine 30 min iodine doping1,,imine 1 hr iodine doping,,imine 1 hr iodine doping1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1142,-0.01686139591,1142,-0.008121974766,1142,0.003788501956,1142,0.0161793828,1142,-0.009414553642,1142,-0.009961254895,1142,-0.004541831557,
1141.333374,-0.01663394831,1141.333374,-0.008030196652,1141.333374,0.003836995922,1141.333374,0.016321918,1141.333374,-0.00925377477,1141.333374,-0.009899267927,1141.333374,-0.00454208767,
1140.666626,-0.0166454073,1140.666626,-0.007986334153,1140.666626,0.003768447787,1140.666626,0.0160643477,1140.666626,-0.009350513108,1140.666626,-0.009839144535,1140.666626,-0.004616779275,
1140,-0.01663061045,1140,-0.007906678133,1140,0.003845666535,1140,0.01625174657,1140,-0.009287120774,1140,-0.009957611561,1140,-0.004500432871,
1139.333374,-0.01662836783,1139.333374,-0.007928945124,1139.333374,0.003807930276,1139.333374,0.01635618694,1139.333374,-0.009293911979,1139.333374,-0.009879531339,1139.333374,-0.004430025816,
1138.666626,-0.01653139293,1138.666626,-0.007875004783,1138.666626,0.004004873801,1138.666626,0.0163564831,1138.666626,-0.009278961457,1138.666626,-0.009819152765,1138.666626,-0.004422646482,
1138,-0.01654823869,1138,-0.008013068698,1138,0.003845065832,1138,0.01636266522,1138,-0.009338554926,1138,-0.00972429011,1138,-0.004332800396,
1137.333374,-0.0165296495,1137.333374,-0.007865802385,1137.333374,0.003850733163,1137.333374,0.01640352421,1137.333374,-0.009248199873,1137.333374,-0.009770458564,1137.333374,-0.004293330014,
1136.666626,-0.01674001664,1136.666626,-0.008061045781,1136.666626,0.003721971763,1136.666626,0.01624392718,1136.666626,-0.009483803064,1136.666626,-0.009965707548,1136.666626,-0.004583482165,
1136,-0.01663643867,1136,-0.007866056636,1136,0.004078973085,1136,0.01651128195,1136,-0.009216117673,1136,-0.009630977176,1136,-0.004362580366,
1135.333374,-0.01661625877,1135.333374,-0.007880801335,1135.333374,0.003838014556,1135.333374,0.01634417288,1135.333374,-0.00924556423,1135.333374,-0.009726719931,1135.333374,-0.004524821416,
1134.666626,-0.01651325263,1134.666626,-0.007985215634,1134.666626,0.00382939633,1134.666626,0.01628671028,1134.666626,-0.009278201498,1134.666626,-0.009824922308,1134.666626,-0.004445604514,
1134,-0.01636774279,1134,-0.007653584238,1134,0.004103170242,1134,0.01639949158,1134,-0.009008918889,1134,-0.009629002772,1134,-0.004119155928,
1133.333374,-0.01628068462,1133.333374,-0.007765529212,1133.333374,0.003859926248,1133.333374,0.01646595076,1133.333374,-0.008973015472,1133.333374,-0.009513028897,1133.333374,-0.004126284271,
1132.666626,-0.01655551419,1132.666626,-0.007829753682,1132.666626,0.003902159631,1132.666626,0.01633358188,1132.666626,-0.008954757825,1132.666626,-0.009595429525,1132.666626,-0.004360632505,
1132,-0.01659119502,1132,-0.007939569652,1132,0.003815294476,1132,0.01617220975,1132,-0.009150526486,1132,-0.009641459212,1132,-0.004549465142,
1131.333374,-0.0165567603,1131.333374,-0.007888478227,1131.333374,0.003815451171,1131.333374,0.01646810025,1131.333374,-0.009177037515,1131.333374,-0.009745248593,1131.333374,-0.00436053006,
1130.666626,-0.01652182452,1130.666626,-0.00783407595,1130.666626,0.003971669357,1130.666626,0.01652389392,1130.666626,-0.009130705148,1130.666626,-0.009561295621,1130.666626,-0.004395022988,
1130,-0.01655127853,1130,-0.007736694068,1130,0.003882935969,1130,0.01651717164,1130,-0.009079094045,1130,-0.009758461267,1130,-0.004425721243,
1129.333374,-0.01658496633,1129.333374,-0.007783328183,1129.333374,0.003862381214,1129.333374,0.01645326056,1129.333374,-0.008965915069,1129.333374,-0.00952938851,1129.333374,-0.004210686777,
1128.666626,-0.01656702533,1128.666626,-0.00785136316,1128.666626,0.003960305825,1128.666626,0.01642487012,1128.666626,-0.009015815333,1128.666626,-0.009490995668,1128.666626,-0.004290203098,
1128,-0.01640987024,1128,-0.007718995214,1128,0.004132255912,1128,0.0166098699,1128,-0.008981585503,1128,-0.009379545227,1128,-0.004268107936,
1127.333374,-0.01640977152,1127.333374,-0.007831634954,1127.333374,0.00392378727,1127.333374,0.01647307537,1127.333374,-0.009103937075,1127.333374,-0.009508824907,1127.333374,-0.004298302345,
1126.666626,-0.01669866778,1126.666626,-0.007862650789,1126.666626,0.003954845946,1126.666626,0.01644140296,1126.666626,-0.008981585503,1126.666626,-0.009646371007,1126.666626,-0.0042503695,
1126,-0.01648823172,1126,-0.007835651748,1126,0.003923943732,1126,0.01648009196,1126,-0.009033055976,1126,-0.009506748058,1126,-0.004349919967,
1125.333374,-0.01649585739,1125.333374,-0.007808956783,1125.333374,0.003842140781,1125.333374,0.01668929867,1125.333374,-0.009082593024,1125.333374,-0.00935314782,1125.333374,-0.004201150034,
1124.666626,-0.01656986587,1124.666626,-0.007995279506,1124.666626,0.003908193205,1124.666626,0.01646167599,1124.666626,-0.009084468707,1124.666626,-0.009617255069,1124.666626,-0.00435125269,
1124,-0.01638170332,1124,-0.007802956738,1124,0.003986951895,1124,0.01655228995,1124,-0.008855040185,1124,-0.009583832696,1124,-0.004147206899,
1123.333374,-0.01649461128,1123.333374,-0.00788924098,1123.333374,0.003916185815,1123.333374,0.01655500568,1123.333374,-0.009125686251,1123.333374,-0.009605810046,1123.333374,-0.004261853639,
