imine undoped,,imine 5 sec TFA,,imine 10 sec TFA,,imine 30 sec TFA,,imine 1 min TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
486.666626,0.1378858387,486.666626,0.1393710822,486.666626,0.1501251608,486.666626,0.1408153772,486.666626,0.1309667379,
485.9999695,0.1383840889,485.9999695,0.1395887583,485.9999695,0.1501971781,485.9999695,0.1410331726,485.9999695,0.130984515,
485.333313,0.1389839351,485.333313,0.139845863,485.333313,0.1503856182,485.333313,0.1411789358,485.333313,0.1310471594,
484.666626,0.139347598,484.666626,0.1401557326,484.666626,0.1504559219,484.666626,0.141200155,484.666626,0.1310497522,
483.9999695,0.1397751123,483.9999695,0.140599817,483.9999695,0.1506720781,483.9999695,0.1415139735,483.9999695,0.1311285496,
483.333313,0.1402866542,483.333313,0.1407025903,483.333313,0.1508902162,483.333313,0.1416238397,483.333313,0.131104216,
482.666626,0.1407048404,482.666626,0.1410746872,482.666626,0.1510585696,482.666626,0.1418573707,482.666626,0.131164968,
481.9999695,0.1411877573,481.9999695,0.1413271576,481.9999695,0.1512334943,481.9999695,0.1418836713,481.9999695,0.1314026266,
481.333313,0.1415488571,481.333313,0.1415558159,481.333313,0.1513608545,481.333313,0.1420591623,481.333313,0.1313709915,
480.666626,0.1416742802,480.666626,0.1417499781,480.666626,0.151379168,480.666626,0.1420503706,480.666626,0.131033659,
479.9999695,0.1424574256,479.9999695,0.1420943141,479.9999695,0.1516509801,479.9999695,0.1422959268,479.9999695,0.1314215064,
479.333313,0.1427242905,479.333313,0.1424504519,479.333313,0.1516636461,479.333313,0.1424706876,479.333313,0.131440118,
478.666626,0.1430749148,478.666626,0.1423640102,478.666626,0.151757732,478.666626,0.1424275637,478.666626,0.1313534528,
477.9999695,0.1435178518,477.9999695,0.1426940262,477.9999695,0.1519957334,477.9999695,0.1423896253,477.9999695,0.1313982904,
477.333313,0.1437043846,477.333313,0.1426729113,477.333313,0.1517185569,477.333313,0.1425231993,477.333313,0.1310894191,
476.666626,0.1442447156,476.666626,0.1430449337,476.666626,0.1518375874,476.666626,0.1426258981,476.666626,0.1312330663,
475.9999695,0.1445280612,475.9999695,0.143278107,475.9999695,0.1520080417,475.9999695,0.1426738799,475.9999695,0.13128227,
475.333313,0.1448682249,475.333313,0.1434406191,475.333313,0.1519598067,475.333313,0.1426598281,475.333313,0.1310828328,
474.666626,0.1453086436,474.666626,0.1435890347,474.666626,0.1519167572,474.666626,0.1426922977,474.666626,0.131029591,
473.9999695,0.1454554945,473.9999695,0.1436854154,473.9999695,0.1519257277,473.9999695,0.142536357,473.9999695,0.1310699135,
