FeCl3 0 uM,,FeCl3 5 uM,,FeCl3 20 uM,,FeCl3 50 uM,,FeCl3 100 uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1338.666626,0.001272241469,1338.666626,0.02377450839,1338.666626,0.09616913646,1338.666626,0.2071216255,1338.666626,0.3208324313,
1338,0.001274318434,1338,0.0238632448,1338,0.09615130723,1338,0.2070745528,1338,0.3207571208,
1337.333374,0.001301890938,1337.333374,0.02392229252,1337.333374,0.09617110342,1337.333374,0.2070547789,1337.333374,0.3206458688,
1336.666626,0.001240075799,1336.666626,0.02388928086,1336.666626,0.09610427916,1336.666626,0.2070634216,1336.666626,0.3206033111,
1336,0.001205238863,1336,0.02393301576,1336,0.0960778594,1336,0.2069529295,1336,0.3204005957,
1335.333374,0.001271099085,1335.333374,0.02396332286,1335.333374,0.09613341093,1335.333374,0.2070055008,1335.333374,0.3204272091,
1334.666626,0.00123091205,1334.666626,0.02397278696,1334.666626,0.09605163336,1334.666626,0.2069210708,1334.666626,0.320313096,
1334,0.001287507359,1334,0.02402049676,1334,0.09605751187,1334,0.2069114,1334,0.3202472031,
1333.333374,0.001243346836,1333.333374,0.02399552055,1333.333374,0.09591421485,1333.333374,0.2068318725,1333.333374,0.3200654984,
1332.666626,0.001197737176,1332.666626,0.02397875115,1332.666626,0.09580956399,1332.666626,0.2067452371,1332.666626,0.3199621439,
1332,0.001256612712,1332,0.02397571504,1332,0.09577667713,1332,0.2067322433,1332,0.319919467,
1331.333374,0.001234754105,1331.333374,0.02398378402,1331.333374,0.09584013373,1331.333374,0.2067401111,1331.333374,0.3198406994,
1330.666626,0.001181591884,1330.666626,0.02401893772,1330.666626,0.09589868784,1330.666626,0.2066686153,1330.666626,0.319822073,
1330,0.001169652096,1330,0.02403705008,1330,0.09586960077,1330,0.2067090273,1330,0.3197748959,
1329.333374,0.001210300718,1329.333374,0.02407343872,1329.333374,0.09585878998,1329.333374,0.2066175044,1329.333374,0.3196244538,
1328.666626,0.001138428459,1328.666626,0.0240873117,1328.666626,0.09584971517,1328.666626,0.2065527737,1328.666626,0.319530189,
1328,0.001203395892,1328,0.02406183816,1328,0.09582157433,1328,0.2065114677,1328,0.3195233047,
1327.333374,0.001163293025,1327.333374,0.02409532852,1327.333374,0.09575898945,1327.333374,0.2064965069,1327.333374,0.3194616735,
1326.666626,0.00109197339,1326.666626,0.02411264926,1326.666626,0.09573362768,1326.666626,0.2064656168,1326.666626,0.319345206,
1326,0.001149900141,1326,0.02418692037,1326,0.09573343396,1326,0.2064355463,1326,0.3193357587,
1325.333374,0.001166537404,1325.333374,0.02415372431,1325.333374,0.09576547891,1325.333374,0.2064541131,1325.333374,0.3192881942,
