0.0% TFA,,0.017% TFA,,0.017% TFA + triethylamine,,0.05% TFA,,0.05% TFA + triethylamine,,0.25% TFA,,0.25% TFA + triethylamine,,1.00% TFA,,1.00% TFA + triethylamine,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1376,0.0004070404393,1376,0.001124828821,1376,0.001312847715,1376,0.0003705085546,1376,0.0008436401258,1376,0.001186186215,1376,0.003810567781,1376,0.0006725720596,1376,0.004786973819,
1375.333374,0.0004009256663,1375.333374,0.001093841856,1375.333374,0.001276161755,1375.333374,0.0003521660401,1375.333374,0.0008162781596,1375.333374,0.001138687949,1375.333374,0.003751501674,1375.333374,0.0006475022528,1375.333374,0.004736855626,
1374.666626,0.000441295153,1374.666626,0.001116316183,1374.666626,0.001279666671,1374.666626,0.0003315963841,1374.666626,0.0008143849554,1374.666626,0.001130798017,1374.666626,0.003718212014,1374.666626,0.0005778484629,1374.666626,0.004735521041,
1374,0.0004440418561,1374,0.001059380011,1374,0.001319676405,1374,0.000374265248,1374,0.0008498389507,1374,0.00109428307,1374,0.003716462757,1374,0.0005505550653,1374,0.004771584179,
1373.333374,0.0004149690503,1373.333374,0.001048637205,1373.333374,0.001316093374,1373.333374,0.0003530986723,1373.333374,0.0008530810592,1373.333374,0.00100878207,1373.333374,0.003652188461,1373.333374,0.0004466331156,1373.333374,0.004785298835,
1372.666626,0.0003959510068,1372.666626,0.0009925659979,1372.666626,0.001299268682,1372.666626,0.0003074787965,1372.666626,0.0008129585767,1372.666626,0.0009683857206,1372.666626,0.003616974922,1372.666626,0.0003761306289,1372.666626,0.004848091863,
1372,0.0003826077736,1372,0.0009215078899,1372,0.001265595201,1372,0.0002344866225,1372,0.000746493577,1372,0.0008461559773,1372,0.003629843704,1372,0.0002659820893,1372,0.004919114523,
1371.333374,0.0003830741334,1371.333374,0.0009385773446,1371.333374,0.001326868776,1371.333374,0.0002480325056,1371.333374,0.0008307240205,1371.333374,0.0008794337045,1371.333374,0.003677119035,1371.333374,0.0002324405359,1371.333374,0.005126542412,
1370.666626,0.0003875045804,1370.666626,0.0008858405054,1370.666626,0.001319157192,1370.666626,0.0002247224475,1370.666626,0.0008428101428,1370.666626,0.0007335544797,1370.666626,0.003638718743,1370.666626,6.469384971E-005,1370.666626,0.005168925505,
1370,0.0003552230482,1370,0.0008715225267,1370,0.001350757317,1370,0.0002324405359,1370,0.000869110343,1370,0.0007508239942,1370,0.003657070221,1370,6.733462214E-005,1370,0.005337817129,
1369.333374,0.0003799132828,1369.333374,0.0008450406604,1369.333374,0.001362857991,1369.333374,0.0002303167421,1369.333374,0.0008734419825,1369.333374,0.0007275647367,1369.333374,0.003663648618,1369.333374,1.874184636E-005,1369.333374,0.005418119952,
1368.666626,0.0003573733557,1368.666626,0.0008597468841,1368.666626,0.001380282338,1368.666626,0.0002383198298,1368.666626,0.0008636893472,1368.666626,0.0006760979886,1368.666626,0.003657513997,1368.666626,-2.583342757E-005,1368.666626,0.005467635114,
1368,0.0003463629109,1368,0.0008315539453,1368,0.001365376753,1368,0.000218144065,1368,0.0008677615551,1368,0.0006651572185,1368,0.003639084287,1368,-2.179543844E-005,1368,0.005535822827,
1367.333374,0.0003407153126,1367.333374,0.0008478677482,1367.333374,0.001389215584,1367.333374,0.0002144405298,1367.333374,0.0008929996984,1367.333374,0.00066502759,1367.333374,0.003575865412,1367.333374,-5.559949932E-005,1367.333374,0.005479326937,
1366.666626,0.0003782551212,1366.666626,0.0008697587764,1366.666626,0.001403862261,1366.666626,0.0002498973627,1366.666626,0.0008930775221,1366.666626,0.0006987063098,1366.666626,0.003515317803,1366.666626,-1.796449033E-005,1366.666626,0.005370313767,
1366,0.0003387982433,1366,0.0008233843255,1366,0.001332710963,1366,0.0001954312611,1366,0.0007955568726,1366,0.0006755535142,1366,0.003415301908,1366,4.970134341E-006,1366,0.005236018449,
1365.333374,0.0002685463987,1365.333374,0.0008139959536,1365.333374,0.001289298758,1365.333374,0.0002000928507,1365.333374,0.0007482049987,1365.333374,0.0006573277642,1365.333374,0.003266429994,1365.333374,4.382715633E-005,1365.333374,0.005016649142,
1364.666626,0.0003168303519,1364.666626,0.0008604471805,1364.666626,0.001268814434,1364.666626,0.0002437329968,1364.666626,0.0006980322069,1364.666626,0.0007750699297,1364.666626,0.003195885569,1364.666626,0.0001469536219,1364.666626,0.004813906271,
1364,0.0003172448487,1364,0.0008684359491,1364,0.001217439305,1364,0.0002966768516,1364,0.0006842130097,1364,0.0009216375765,1364,0.003084080992,1364,0.000280850014,1364,0.004658353049,
1363.333374,0.0002720690682,1363.333374,0.0008424470434,1363.333374,0.001156648388,1363.333374,0.0002615529229,1363.333374,0.0005807515117,1363.333374,0.0008922474808,1363.333374,0.002996180439,1363.333374,0.0003046552592,1363.333374,0.004404495005,
1362.666626,0.0002452352201,1362.666626,0.0008206870989,1362.666626,0.001059120521,1362.666626,0.0001874548616,1362.666626,0.0004582421097,1362.666626,0.0008583721938,1362.666626,0.002893339377,1362.666626,0.0003185400856,1362.666626,0.004181938246,
1362,0.0002216663415,1362,0.0008656087448,1362,0.001029798877,1362,0.0002091054193,1362,0.0004439900222,1362,0.0008579831338,1362,0.002800110262,1362,0.0003321403929,1362,0.00411992101,
1361.333374,0.0002657748992,1361.333374,0.0008514989167,1361.333374,0.0009666993865,1361.333374,0.0002029934258,1361.333374,0.000412170717,1361.333374,0.0008581128204,1361.333374,0.002787474543,1361.333374,0.0003779960389,1361.333374,0.003948054276,
1360.666626,0.0002308865369,1360.666626,0.0008687990485,1360.666626,0.0009472161182,1360.666626,0.0001873512665,1360.666626,0.0003693426843,1360.666626,0.0009336224757,1360.666626,0.002818556502,1360.666626,0.0004634507059,1360.666626,0.003851229325,
1360,0.0001939550857,1360,0.000878058956,1360,0.0009212744189,1360,0.0002475662914,1360,0.0003708712757,1360,0.001046405639,1360,0.002790705068,1360,0.0005418723449,1360,0.003860474564,
1359.333374,0.0001975548657,1359.333374,0.0008789148997,1359.333374,0.0009160862537,1359.333374,0.0002264836075,1359.333374,0.0003020130389,1359.333374,0.0009872731753,1359.333374,0.002728182822,1359.333374,0.0004758375871,1359.333374,0.003801715095,
1358.666626,0.0002521507558,1358.666626,0.0009444403113,1358.666626,0.000987532665,1358.666626,0.0003313373309,1358.666626,0.0004182338307,1358.666626,0.001174064586,1358.666626,0.002844142728,1358.666626,0.0006676201592,1358.666626,0.003908819985,
1358,0.0002296433522,1358,0.0009325069841,1358,0.0009498103755,1358,0.0002711883863,1358,0.0003442126617,1358,0.001122674672,1358,0.002795837587,1358,0.0006237559719,1358,0.003858986078,
1357.333374,0.0002284001821,1357.333374,0.0009482797468,1357.333374,0.0009272149182,1357.333374,0.0003358708636,1357.333374,0.0003307414881,1357.333374,0.001180138323,1357.333374,0.002751445165,1357.333374,0.0007074699388,1357.333374,0.003843864426,
1356.666626,0.0001937997004,1356.666626,0.0009458411951,1356.666626,0.0008790186839,1356.666626,0.0002645834174,1356.666626,0.0002572014637,1356.666626,0.001163786161,1356.666626,0.002642437583,1356.666626,0.0006907206844,1356.666626,0.003730587661,
1356,0.0002056868252,1356,0.0009182652575,1356,0.000824836723,1356,0.0002742966753,1356,0.0002152692905,1356,0.001127294381,1356,0.002463604556,1356,0.0006848871126,1356,0.003634829307,
1355.333374,0.0001435096347,1355.333374,0.0009265145054,1355.333374,0.0008058784879,1355.333374,0.0002571496589,1355.333374,0.0001422666974,1355.333374,0.001155454549,1355.333374,0.002392878057,1355.333374,0.0007162337424,1355.333374,0.003586279461,
1354.666626,0.0001312099048,1354.666626,0.0008994845557,1354.666626,0.0007547395653,1354.666626,0.0002511923958,1354.666626,0.0001045660101,1354.666626,0.001181617845,1354.666626,0.002282945439,1354.666626,0.0007360955933,1354.666626,0.003544181352,
1354,0.0001824567444,1354,0.000961873855,1354,0.0008148258203,1354,0.0003117789456,1354,0.0001144310518,1354,0.001267282758,1354,0.002206784673,1354,0.0007820457686,1354,0.00356910564,
1353.333374,0.0001599529642,1353.333374,0.0009301722166,1353.333374,0.000759277551,1353.333374,0.0002694788564,1353.333374,5.938647155E-005,1353.333374,0.001195608638,1353.333374,0.002155844588,1353.333374,0.0007960755611,1353.333374,0.003518762533,
1352.666626,0.0001901740761,1352.666626,0.0009812280769,1352.666626,0.0008066046867,1352.666626,0.0003253531468,1352.666626,0.0001228980836,1352.666626,0.001283898484,1352.666626,0.002165600425,1352.666626,0.0008837654605,1352.666626,0.003589933505,
1352,0.0001855384762,1352,0.0009783481946,1352,0.0008105207235,1352,0.0003464147158,1352,9.024786414E-005,1352,0.001306460588,1352,0.002091696952,1352,0.0008703293861,1352,0.00353773497,
1351.333374,0.0001380977046,1351.333374,0.000971473055,1351.333374,0.0007570215384,1351.333374,0.0003441349545,1351.333374,6.554822176E-005,1351.333374,0.001287143794,1351.333374,0.001976847881,1351.333374,0.0008399312501,1351.333374,0.003431895748,
1350.666626,0.0001109096484,1350.666626,0.0009361128905,1350.666626,0.0007286797045,1350.666626,0.0002990340872,1350.666626,-8.594056453E-006,1350.666626,0.001254016533,1350.666626,0.001796209137,1350.666626,0.0008010807214,1350.666626,0.003232029965,
1350,0.0001173569472,1350,0.0009535201825,1350,0.0007211602642,1350,0.0003089553502,1350,-2.438389674E-005,1350,0.001239348901,1350,0.001665898482,1350,0.0007681201678,1350,0.003029232146,
1349.333374,0.000120981982,1349.333374,0.0009771548212,1349.333374,0.000709129381,1349.333374,0.0003319331445,1349.333374,-5.404653712E-005,1349.333374,0.001268113498,1349.333374,0.00159169035,1349.333374,0.0008188456995,1349.333374,0.002846487798,
1348.666626,0.0001395736763,1348.666626,0.0009959647432,1348.666626,0.0006970728864,1348.666626,0.0003328398743,1348.666626,-8.469063323E-005,1348.666626,0.00125386077,1348.666626,0.001467700698,1348.666626,0.0008220875752,1348.666626,0.002598555759,
1348,0.0001286982151,1348,0.001001127996,1348,0.0006894243415,1348,0.0003349382314,1348,-0.0001133139885,1348,0.001286598621,1348,0.001343486714,1348,0.0008098464459,1348,0.002359171864,
1347.333374,0.0001297080744,1347.333374,0.001007640385,1347.333374,0.0007102701929,1347.333374,0.0004132071335,1347.333374,-8.370715659E-005,1347.333374,0.001333515858,1347.333374,0.001270501991,1347.333374,0.0008546632016,1347.333374,0.002142265206,
1346.666626,9.4856543E-005,1346.666626,0.001001465251,1346.666626,0.0006571722333,1346.666626,0.0003806646273,1346.666626,-0.0001415731676,1346.666626,0.001277745352,1346.666626,0.001108296914,1346.666626,0.0007831868134,1346.666626,0.001813832903,
1346,0.0001118676737,1346,0.0009975993307,1346,0.00065393158,1346,0.0003581505734,1346,-0.0001914104359,1346,0.001270294306,1346,0.0010046307,1346,0.0007713357336,1346,0.001559553086,
