non-imine polymer 0.0% TFA,,non-imine polymer 0.017% TFA,,non-imine polymer 0.05% TFA,,non-imine polymer 0.1% TFA,,non-imine polymer 0.25% TFA,,non-imine polymer 0.5% TFA,,non-imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1365.333374,0.0001041776341,1365.333374,0.0007835239521,1365.333374,0.0006824759184,1365.333374,0.002737925155,1365.333374,0.001884283265,1365.333374,0.005046110135,1365.333374,0.005164367147,
1364.666626,1.23477821E-005,1364.666626,0.0006141126505,1364.666626,0.0005814514006,1364.666626,0.002571030986,1364.666626,0.001745863119,1364.666626,0.004767868202,1364.666626,0.004893772304,
1364,-2.096712888E-005,1364,0.0005766820395,1364,0.000539202767,1364,0.002496746136,1364,0.001663040137,1364,0.004649457056,1364,0.004705714528,
1363.333374,-2.179543844E-005,1363.333374,0.0005380364601,1363.333374,0.0004994721385,1363.333374,0.00244257017,1363.333374,0.001592859509,1363.333374,0.004471548367,1363.333374,0.004535865504,
1362.666626,-3.401283175E-005,1362.666626,0.0005353409797,1362.666626,0.0004663271247,1362.666626,0.002422057558,1362.666626,0.001511026872,1362.666626,0.004358159844,1362.666626,0.004420446698,
1362,-4.2970496E-006,1362,0.0005104346201,1362,0.0004877583415,1362,0.002416851465,1362,0.001548538101,1362,0.00427789567,1362,0.004298365675,
1361.333374,-0.0001251147478,1361.333374,0.0004509605351,1361.333374,0.0004001224879,1361.333374,0.002336476929,1361.333374,0.001432819641,1361.333374,0.004104947206,1361.333374,0.004056684673,
1360.666626,-7.99285117E-005,1360.666626,0.0003501712054,1360.666626,0.0003906395868,1360.666626,0.002325780457,1360.666626,0.001416146173,1360.666626,0.004056187812,1360.666626,0.003993561491,
1360,-7.915207971E-005,1360,0.0004479546624,1360,0.0004025061789,1360,0.002466546372,1360,0.001573166344,1360,0.004146786407,1360,0.004073328804,
1359.333374,-6.828181358E-005,1359.333374,0.0004334178811,1359.333374,0.0004046308168,1359.333374,0.002403341932,1359.333374,0.001473726588,1359.333374,0.004092508461,1359.333374,0.00400380278,
