non-imine undoped,,non-imine 10 min iodine doped,,non-imine 1 min iodine doped,,non-imine 30 min iodine doping,,non-imine 30 min iodine doping1,,imine 1 hr iodine doping,,imine 1 hr iodine doping1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1149.333374,-0.01411179546,1149.333374,0.007661795244,1149.333374,0.0143211605,1149.333374,0.008819852956,1149.333374,-0.006206027698,1149.333374,-0.009999100119,1149.333374,-0.004777901806,
1148.666626,-0.01413860638,1148.666626,0.007621882018,1148.666626,0.01413801592,1148.666626,0.00880162511,1148.666626,-0.00626083836,1148.666626,-0.01007660292,1148.666626,-0.004713634029,
1148,-0.01396843791,1148,0.007653785869,1148,0.01428480353,1148,0.008901753463,1148,-0.006152996328,1148,-0.00985331554,1148,-0.004571597092,
1147.333374,-0.01415283885,1147.333374,0.007610290777,1147.333374,0.01422135346,1147.333374,0.008953385055,1147.333374,-0.006070195697,1147.333374,-0.00995705463,1147.333374,-0.004707488231,
1146.666626,-0.01403395738,1146.666626,0.007734096609,1146.666626,0.01440675464,1146.666626,0.008949077688,1146.666626,-0.006173872855,1146.666626,-0.009983415715,1146.666626,-0.004613296129,
1146,-0.01398382802,1146,0.007763716392,1146,0.01430481486,1146,0.008937239647,1146,-0.005908683874,1146,-0.009870573878,1146,-0.00465396652,
1145.333374,-0.0141437687,1145.333374,0.007766483352,1145.333374,0.014352303,1145.333374,0.009065362625,1145.333374,-0.006115988363,1145.333374,-0.01000744849,1145.333374,-0.004662417807,
1144.666626,-0.01412693039,1144.666626,0.007838644087,1144.666626,0.01448910031,1144.666626,0.009180198424,1144.666626,-0.005929827224,1144.666626,-0.01000805572,1144.666626,-0.004498434719,
1144,-0.01422850136,1144,0.007681793068,1144,0.01431278698,1144,0.008967311122,1144,-0.006205414888,1144,-0.01011018921,1144,-0.00461201556,
1143.333374,-0.01419177372,1143.333374,0.007767405827,1143.333374,0.01431235857,1143.333374,0.00912631955,1143.333374,-0.006092454307,1143.333374,-0.01001154631,1143.333374,-0.004798024893,
1142.666626,-0.01418205351,1142.666626,0.008015696891,1142.666626,0.01445029397,1142.666626,0.009201429784,1142.666626,-0.005878448021,1142.666626,-0.00981338229,1142.666626,-0.004451241344,
1142,-0.0140621271,1142,0.007826229557,1142,0.01441633422,1142,0.009106043726,1142,-0.006063967012,1142,-0.009961254895,1142,-0.004541831557,
1141.333374,-0.01408613473,1141.333374,0.007879315875,1141.333374,0.01442974154,1141.333374,0.009294932708,1141.333374,-0.005826347508,1141.333374,-0.009899267927,1141.333374,-0.00454208767,
1140.666626,-0.01412066538,1140.666626,0.007986033335,1140.666626,0.01452172734,1140.666626,0.009280625731,1140.666626,-0.005834571552,1140.666626,-0.009839144535,1140.666626,-0.004616779275,
1140,-0.01399992034,1140,0.008075688034,1140,0.0145863723,1140,0.009399697185,1140,-0.005773985293,1140,-0.009957611561,1140,-0.004500432871,
1139.333374,-0.01400603633,1139.333374,0.00798721984,1139.333374,0.01451634709,1139.333374,0.009245455265,1139.333374,-0.005785224494,1139.333374,-0.009879531339,1139.333374,-0.004430025816,
1138.666626,-0.01414041128,1138.666626,0.00805195421,1138.666626,0.01474972721,1138.666626,0.009408242069,1138.666626,-0.005688966252,1138.666626,-0.009819152765,1138.666626,-0.004422646482,
1138,-0.01409660932,1138,0.007999506779,1138,0.01456310973,1138,0.009361132048,1138,-0.005836053286,1138,-0.00972429011,1138,-0.004332800396,
